RDM1;gene:ENSG00000278023:s:35922155-35922675
PITPNM2;gene:ENSG00000090975:s:122986646-122987116
SLC6A14;gene:ENSG00000268104:t:116455357-116455466
LNPEP;gene:ENSG00000113441:s:97027733-97027886
DPP10;gene:ENSG00000175497:s:115791081-115791179
NBPF12;gene:ENSG00000268043:t:146977466-146977671
RAPGEF4;gene:ENSG00000091428:s:173017174-173017204
ARHGAP27;gene:ENSG00000159314:s:45404269-45404334
CDK14;gene:ENSG00000058091:s:90596497-90596718
PFKFB2;gene:ENSG00000123836:s:207063347-207063421
SLC4A4;gene:ENSG00000080493:s:71466444-71466577
FRS2;gene:ENSG00000166225:s:69569005-69569096
YPEL2;gene:ENSG00000175155:s:59353215-59356303
MARC2;gene:ENSG00000117791:s:220780168-220780239
MEIOB;gene:ENSG00000162039:s:1860403-1860475
DDX25;gene:ENSG00000109832:s:125908196-125908301
LINC02475;gene:ENSG00000251350:t:44019751-44022063
DIP2A;gene:ENSG00000160305:t:46496988-46497107
ERLIN1;gene:ENSG00000107566:t:100174208-100174281
NAA16;gene:ENSG00000172766:t:41369090-41369204
USP42;gene:ENSG00000106346:t:6139092-6139194
BTAF1;gene:ENSG00000095564:s:91956528-91956657
GAB4;gene:ENSG00000215568:s:16964766-16964892
RASSF6;gene:ENSG00000169435:s:73576410-73576507
THOC2;gene:ENSG00000125676:t:123697726-123697751
SVEP1;gene:ENSG00000165124:s:110445837-110446038
RIF1;gene:ENSG00000080345:s:151454882-151455159
SCN4A;gene:ENSG00000007314:s:63966102-63966243
ITGA9;gene:ENSG00000144668:s:37736904-37736983
PHYHIP;gene:ENSG00000168490:s:22223733-22224343
TMEM63C;gene:ENSG00000165548:t:77253305-77253376
LTF;gene:ENSG00000012223:s:46455295-46455442
KIF16B;gene:ENSG00000089177:t:16505722-16505853
ABLIM3;gene:ENSG00000173210:t:149239248-149239277
MAP3K15;gene:ENSG00000180815:s:19361493-19361593
ARX;gene:ENSG00000004848:t:25007111-25007439
CLCN2;gene:ENSG00000114859:s:184355694-184355910
F2RL3;gene:ENSG00000127533:s:16888860-16889298
ITGAV;gene:ENSG00000138448:t:186637065-186637109
KCNH3;gene:ENSG00000135519:s:49549441-49549640
C5;gene:ENSG00000106804:t:120991191-120991280
PIKFYVE;gene:ENSG00000115020:t:208330523-208330694
PLEKHG5;gene:ENSG00000171680:s:6474013-6474203
HMCN1;gene:ENSG00000143341:s:186145753-186145923
STK32B;gene:ENSG00000152953:t:5466703-5466834
COL22A1;gene:ENSG00000169436:s:138826658-138826781
DAO;gene:ENSG00000110887:s:108892982-108893036
BMP6;gene:ENSG00000153162:s:7879074-7879150
GTF2IRD1;gene:ENSG00000006704:s:74557639-74557722
MUC19;gene:ENSG00000205592:s:40542562-40542615
MAST4;gene:ENSG00000069020:s:66738031-66738257
NT5DC3;gene:ENSG00000111696:t:103806855-103806929
HECTD4;gene:ENSG00000173064:s:112235504-112235784
CACNA1C;gene:ENSG00000151067:t:2685736-2685842
ARMC3;gene:ENSG00000165309:s:22955807-22955932
AICDA;gene:ENSG00000111732:s:8606865-8607016
SVEP1;gene:ENSG00000165124:t:110375366-110375463
ROBO1;gene:ENSG00000169855:s:78639744-78639898
CACNA1S;gene:ENSG00000081248:t:201093882-201094021
TUBGCP4;gene:ENSG00000137822:s:43397193-43397321
ANKRD18A;gene:ENSG00000180071:t:38577867-38578148
LAMA3;gene:ENSG00000053747:s:23903009-23903125
CSNK2A1;gene:ENSG00000101266:s:481110-484148
ITGA9;gene:ENSG00000144668:t:37784977-37785078
AGPAT3;gene:ENSG00000160216:s:na-43916977
