DGKZ;gene:ENSG00000149091:s:46374766-46374839
TNPO3;gene:ENSG00000064419:s:128967280-128967392
AP4M1;gene:ENSG00000221838:t:100106241-100106291
SH3GLB2;gene:ENSG00000148341:s:129010120-129010209
DMAP1;gene:ENSG00000178028:s:44218962-44219249
PTGR1;gene:ENSG00000106853:s:111594222-111594267
JOSD2;gene:ENSG00000161677:s:50507574-50508029
ERGIC2;gene:ENSG00000087502:s:29345443-29345557
RPP30;gene:ENSG00000148688:s:90875558-90875614
MAIP1;gene:ENSG00000162972:t:199959266-199959344
EXOSC10;gene:ENSG00000171824:s:11068008-11068121
EPRS;gene:ENSG00000136628:s:220022347-220022518
PANK2;gene:ENSG00000125779:s:3916799-3917050
PIP5K1A;gene:ENSG00000143398:s:151239130-151239178
ILF3;gene:ENSG00000129351:s:10671170-10671203
CKAP5;gene:ENSG00000175216:s:46770788-46771001
KDM6B;gene:ENSG00000132510:s:7851951-7852065
ACP5;gene:ENSG00000102575:s:11577589-11577902
CDC45;gene:ENSG00000093009:s:19514749-19514887
SMARCA1;gene:ENSG00000102038:t:129506080-129506211
ARHGEF7;gene:ENSG00000102606:s:111217679-111217885
PTDSS1;gene:ENSG00000156471:s:96284109-96284153
LTBR;gene:ENSG00000111321:s:6385459-6386162
AC021097.2;gene:ENSG00000285292:s:151218749-151218873
HMBS;gene:ENSG00000256269:s:119091413-119091526
UBR2;gene:ENSG00000024048:s:42676765-42676873
TFEB;gene:ENSG00000112561:s:41687907-41688200
NECAB3;gene:ENSG00000125967:s:33669687-33669712
AC021097.2;gene:ENSG00000285292:s:151221578-151221906
BCAM;gene:ENSG00000187244:s:44814604-44814760
TMEM63A;gene:ENSG00000196187:t:225848897-225849012
CCNK;gene:ENSG00000090061:s:99493792-99495629
CRYZ;gene:ENSG00000116791:s:74706899-74706994
UCHL5;gene:ENSG00000116750:s:193022926-193023068
PABPC4;gene:ENSG00000090621:s:39571234-39571349
XAB2;gene:ENSG00000076924:s:7619747-7619872
PPT1;gene:ENSG00000131238:t:40078557-40078658
FLNB;gene:ENSG00000136068:t:58094836-58094954
ADCY7;gene:ENSG00000121281:s:50313104-50314110
TFDP2;gene:ENSG00000114126:s:141959674-141959840
P4HA2;gene:ENSG00000072682:s:132204082-132204152
MRPL16;gene:ENSG00000166902:t:59807236-59807849
DDX49;gene:ENSG00000105671:s:18921663-18921748
EXT2;gene:ENSG00000151348:s:44109194-44109283
MVD;gene:ENSG00000167508:s:88655834-88656561
ACLY;gene:ENSG00000131473:s:41872032-41872182
ETFDH;gene:ENSG00000171503:s:158703423-158703591
IARS2;gene:ENSG00000067704:s:220094102-220094483
C1GALT1C1;gene:ENSG00000171155:t:120625793-120627171
DCAF12;gene:ENSG00000198876:s:34093286-34093779
LARS;gene:ENSG00000133706:t:146157728-146157795
SMG9;gene:ENSG00000105771:s:43750592-43750747
TCTN3;gene:ENSG00000119977:s:95685556-95685636
RNF115;gene:ENSG00000265491:s:145751438-145751521
INF2;gene:ENSG00000203485:s:104703295-104703454
PRDX4;gene:ENSG00000123131:s:23682396-23682526
DLG5;gene:ENSG00000151208:t:77806758-77806928
SLX1A-SULT1A3;gene:ENSG00000213599:s:30203268-30203685
LRRCC1;gene:ENSG00000133739:s:85138035-85138243
DNMT1;gene:ENSG00000130816:s:10162667-10162983
PELP1;gene:ENSG00000141456:s:4675274-4675518
UTP18;gene:ENSG00000011260:s:51293582-51294045
SYS1;gene:ENSG00000204070:s:45365219-45365868
